시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수,인센티브제 도입 여부
경상남도 함양군,11446.8,37708,1556,0.168917385,0.007886972,0.022185656,32815,0.406661371,0.559854673,965,0.026792903,569,400,0.019067572,0,0.699,0.6515,99,0,0
경상남도 합천군,7751.7,42142,990,0.0826814,0.030852728,0.020731469,32441,0.436534324,0.521878411,1239,0.030911631,510,350,0.062289403,1,0.704,0.6357,14,6,0
경상북도 경산시,49423.4,267725,32397,0.550682968,0.006998808,0.020907832,32768,0.388719758,0.702930246,17042,0.057663352,5879,430,0.001942292,8,0.605,0.5762,115,87,0
경상북도 경주시,71177.3,249607,36689,0.40133653,0.024166425,0.046690728,34597,0.375756298,0.655085795,18261,0.070322789,7762,350,0.00379797,0,0.619,0.5803,168,191,0
경상북도 구미시,89865.9,408110,82844,0.591842101,0.018016885,0.0406123,37729,0.353644247,0.746411507,8495,0.020761491,8527,600,0,0,0.637,0.5867,886,276,0
경상북도 군위군,7006,23340,1723,0.051497541,0.011712114,0.024407689,35221,0.41868574,0.524378749,772,0.035417718,323,240,0.006426735,5,0.723,0.65,18,14,0
경상북도 김천시,20843.9,139324,12834,0.447211172,0.017337066,0.012507572,33378,0.360411244,0.640262984,4546,0.033014278,2705,350,0.001650828,0,0.658,0.5918,101,60,0
경상북도 봉화군,9572.9,30139,1596,0.102436284,0.03840483,0.018535421,33081,0.392052236,0.540362985,823,0.028578373,377,250,0,1,0.764,0.6524,52,0,0
경상북도 상주시,20929.9,94823,4140,0.249148007,0.00674733,0.024496238,32430,0.382470666,0.57880472,2657,0.028506137,1238,290,0.005272982,0,0.683,0.6387,6,0,0
경상북도 성주군,7498.2,42566,8646,0.063311343,0.013460311,0.015854437,34154,0.374228559,0.584198656,2553,0.06249541,752,300,0.022482733,0,0.677,0.6426,47,10,0
경상북도 영덕군,15189.4,34650,866,0.08144208,0.043321513,0.036347518,32071,0.433983452,0.52952381,1672,0.049886621,806,250,0,0,0.636,0.6271,9,0,0
경상북도 영양군,4032,16022,286,0.047275538,0.013525699,0.049465413,34151,0.41066598,0.53657471,558,0.036392095,120,200,0.03120709,0,0.777,0.7162,3,15,0
경상북도 영천시,21420.7,101088,15270,0.3715187,0.016896053,0.020763563,35307,0.386729469,0.611694761,4754,0.047663448,1480,360,0.011811491,0,0.677,0.6525,81,0,0
경상북도 울릉군,3453.3,8996,240,0.042137477,0.046374765,0.024246704,34638,0.45433145,0.660293464,223,0.026906371,535,300,0.083370387,6,0.813,0.6296,23,0,0
경상북도 울진군,16180.7,47030,806,0.208230453,0.061911294,0.04266118,31462,0.407361683,0.608547735,2352,0.051181616,1261,400,0.002551563,0,0.635,0.5917,14,0,0
경상북도 의성군,8636.7,50186,1395,0.077243917,0.011940299,0.024902883,32426,0.416520139,0.502769697,1198,0.025075877,396,340,0.005977763,0,0.734,0.5985,68,68,0
경상북도 청도군,7646.8,41614,1571,0.100160547,0.014604589,0.028535916,32474,0.397897354,0.539265632,1681,0.041977775,899,290,0.026433412,0,0.739,0.5615,0,0,0
경상북도 청송군,9457.1,24295,296,0.089019279,0.012489522,0.03906119,34866,0.419111484,0.539082116,677,0.029215035,384,140,0.00617411,0,0.818,0.697,57,0,0
경상북도 칠곡군,29367.3,112487,24489,0.463413633,0.009972504,0.047133418,74242,0.354885706,0.702356717,5830,0.051343473,2211,350,0.006054033,0,0.634,0.5871,96,96,0
경상북도 포항시,101419.8,496650,40537,0.561424678,0.033925784,0.045158285,36399,0.332208996,0.684103493,10830,0.021807945,12190,900,0.00201349,0,0.607,0.5334,1986,275,0
광주광역시 광산구,55475.2,400654,49207,0.728376926,0.02406172,0.004315813,38077,0.323710264,0.74634223,23229,0.055077,9953,740,0.003634058,42,0.644,0.3025,983,474,0
광주광역시 남구,24229.8,212379,1039,0.673341471,0.013998395,0.011040368,36689,0.329022752,0.67963405,2722,0.012688143,3860,740,0.003861022,11,0.606,0.309,194,250,0
광주광역시 북구,49306.2,424707,17912,0.678387746,0.013088686,0.011162006,37956,0.365416359,0.714711554,8280,0.019047093,9156,740,0.01059554,0,0.562,0.2718,130,350,0
광주광역시 서구,36607.5,287401,9909,0.665230851,0.009005769,0.010835066,32238,0.372574618,0.726417097,3355,0.011698333,9393,740,0.001346551,14,0.597,0.3097,638,374,0
대구광역시 남구,28733.4,141519,1056,0.246060709,0.007638123,0.074202948,31782,0.465939631,0.678997166,2556,0.017914841,2722,560,0.010669945,8,0.533,0.3616,3488,1319,0
대구광역시 달서구,91674.9,536989,48707,0.662412107,0.00496853,0.025948717,35269,0.327747395,0.723336977,15653,0.028717254,11566,560,0.006363259,1,0.571,0.3087,3417,537,0
