시군구,종량제,인구수,제조업종사자수,아파트,연립주택,다세대주택,소득수준,1인가구비율,15_64세인구율,외국인수,외국인비율,음식점업종사자수,20ℓ가격,일제대청소참여율,청결유지책임제이행실적,경제활동참가율,재정자주도,공무원단속건수,주민신고건수
경기도 군포시,0.250103476,0.240943891,0.11330478,0.82432276,0.0819365126,0.280313906,0.0451738133,0.279868648,0.87560048,0.118003944,0.238870842,0.132505409,0.938271605,0.00759554667,0,0.336769759,0.675333333,0.0349578032,0.0975518595
경기도 김포시,0.448215992,0.44520247,0.30151835,0.87178982,0.242367504,0.100691271,0.0525851421,0.236389774,0.73543974,0.330361206,0.386069428,0.231292824,0.716049383,0.00873133158,0.185074627,0.378006873,0.578,0.0204613027,0.162773313
경기도 남양주시,0.570712419,0.682276713,0.128024599,0.849952089,0.357642428,0.23093823,0.0414420067,0.153835291,0.764100464,0.147483261,0.08271187,0.325933105,0.740740741,0.0213045168,0.0656716418,0.298969072,0.653111111,0.020258167,0.316763222
경기도 동두천시,0.105711399,0.0773273857,0.0183316454,0.627421918,0.478579733,0.405237269,0.00796685162,0.476749915,0.638998378,0.053032437,0.328898058,0.0497881356,0.50617284,0.0304318299,0,0.195876289,0.661555556,0.00638954036,0.00504578583
경기도 부천시,0.659559279,0.731712846,0.240609455,0.572248568,0.159322745,0.688540244,0.486618434,0.299705873,0.87987165,0.498840762,0.34812685,0.392039308,0.567901235,0,0.0417910448,0.336769759,0.586888889,0.201122786,0.0969912166
경기도 성남시,0.939553369,0.855727051,0.149130193,0.599172003,0.242076651,0.232317216,0.606794372,0.421421821,0.847544978,0.30058937,0.164632126,0.650243419,0.444444444,0,0.0537313433,0.378006873,0.851111111,1,0.166510933
경기도 시흥시,0.424544059,0.472035214,0.346157757,0.816722546,0.049350214,0.286760997,0.031141959,0.363539863,0.936535223,0.667331152,0.72459655,0.25694194,0.481481481,0,0.11641791,0.491408935,0.563111111,0.0202212332,0.177350028
경기도 안산시,0.602567659,0.592637833,0.47677734,0.503375464,0.257732896,0.651945232,0.242972636,0.433867438,1,1,0.854438811,0.328818067,0.444444444,0.0215195578,0,0.429553265,0.629777778,0.0838765674,0.405905438
경기도 양주시,0.235099805,0.219604155,0.120776543,0.842868565,0.132669879,0.185430254,0.0204497775,0.270144518,0.721241514,0.12362679,0.28345634,0.116277497,0.567901235,0,0,0.278350515,0.687333333,0.0100829163,0.0287796674
경기도 양평군,0.057329959,0.106157246,0.00530792039,0.174371793,0.252348046,0.225561351,0.0361416649,0.4073334,0.455915999,0.0295334879,0.124714467,0.0700730256,0.518518519,0,0.023880597,0.161512027,0.672222222,0.0019020886,0.0764343113
